Index SKU,Facility,Initial Inventory
67005400,MX,0
504606X,MX,0
533552,MX,0
533533A,MX,0
67003700,MX,0
534524T,MX,0
67208225,MX,0
67230100,MX,0
4400802S,MX,0
67005400,GDRC,47484
504606X,GDRC,141555
533552,GDRC,148400
533533A,GDRC,3290
67003700,GDRC,1214
534524T,GDRC,863
67208225,GDRC,148
67230100,GDRC,113
4400802S,GDRC,362
67005400,EMEA,10016
504606X,EMEA,26632
533552,EMEA,38482
533533A,EMEA,837
67003700,EMEA,277
534524T,EMEA,227
67208225,EMEA,40
67230100,EMEA,30
4400802S,EMEA,130
